Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category
Portugal,Santo Antonio Da Charneca,-0.6143413212376476,0,0.0,0,0.7069590406462888,0,-0.33520828402850383,0,-1.3437885003576404,0
Peru,Saposoa,-0.67926897057916,0,0.0,0,-2.2227194738369853,0,-0.9071450750155413,0,-0.3832623239133666,0
Russian Federation,Chelyabinsk,-1.0688348666282346,0,0.0,0,0.1037899347232618,0,-0.33520828402850383,0,-1.2904259349996252,0
Azerbaijan,Agdam,2.112619951105874,1,0.0,0,-0.4993791711997652,0,-0.9071450750155413,0,1.9113279864812873,1
Cuba,Aguada De Pasajeros,-0.9389795679452096,0,0.0,0,0.2761239649869838,0,-0.9071450750155413,0,-0.9168879774935187,0
United States of America,Algonquin,0.16479047086050144,1,0.0,0,0.017622919591400794,0,0.8086652979455711,0,0.31045102574083105,1
Argentina,Alta Gracia,-1.003907217286722,0,0.0,0,0.1899569498551228,0,-0.33520828402850383,0,-0.9702505428515339,0
Turkey,Ankara,-0.3546307238715979,0,0.0,0,1.0516271011737328,0,-0.9071450750155413,0,-0.5433500199874123,0
India,Ankola,-0.2897030745300855,0,0.0,0,-1.1025482771227924,0,-0.33520828402850383,0,-0.0630869317652754,0
Brazil,Areado,-0.3546307238715979,0,0.0,0,-0.8440472317272092,0,-0.9071450750155413,0,-0.1164494971232906,0
Pakistan,Badin,3.021607041887048,1,0.0,0,-0.5855461863316263,0,-0.33520828402850383,0,2.6584039014935,1
Germany,Eschweiler,0.16479047086050144,1,0.0,0,0.3622909801188448,0,0.23672850695853362,0,0.31045102574083105,1
Germany,Ettlingen,-0.2897030745300855,0,0.0,0,0.1899569498551228,0,1.3806020889326085,0,-0.0630869317652754,0
United States of America,Eunice,1.333488159007725,1,0.0,0,-1.1025482771227924,0,0.8086652979455711,0,1.270977202185105,1
India,Duliagaon,-1.2636178146527717,0,0.0,0,-0.3270451409360432,0,-0.9071450750155413,0,-0.8635254121355035,0
United States of America,Elfers,0.8140669642756256,1,0.0,0,-0.41321215606790423,0,3.096412461893721,0,0.8440766793209832,1
